5,1,1,0,0,518,0
6,1,1,0,0,518,0
7,1,1,0,0,518,0
8,1,1,0,0,518,0
9,1,1,0,0,519,0
10,1,1,0,0,519,0
11,1,1,0,0,520,0
12,1,1,0,0,521,0
13,1,1,0,0,521,0
14,1,1,0,0,521,0
15,1,1,0,0,521,0
0,1,1,0,0,519,0
1,1,1,0,0,518,0
2,1,1,0,0,517,0
3,1,1,0,0,516,0
4,1,1,0,0,516,0
5,1,1,0,0,515,0
6,1,1,0,0,515,0
7,1,1,0,0,515,0
8,1,1,0,0,516,0
9,1,1,0,0,516,0
10,1,1,0,0,516,0
11,1,1,0,0,516,0
12,1,1,0,0,517,0
13,1,1,0,0,518,0
14,1,1,0,0,518,0
15,1,1,0,0,519,0
0,1,1,0,0,519,0
1,1,1,0,0,519,0
2,1,1,0,0,519,0
3,1,1,0,0,519,0
4,1,1,0,0,518,0
5,1,1,0,0,516,0
6,1,1,0,0,516,0
7,1,1,0,0,516,0
8,1,1,0,0,516,0
9,1,1,0,0,515,0
10,1,1,0,0,515,0
11,1,1,0,0,515,0
12,1,1,0,0,516,0
13,1,1,0,0,516,0
14,1,1,0,0,516,0
15,1,1,0,0,517,0
0,1,1,0,0,517,0
1,1,1,0,0,518,0
2,1,1,0,0,519,0
3,1,1,0,0,519,0
4,1,1,0,0,520,0
5,1,1,0,0,520,0
6,1,1,0,0,519,0
7,1,1,0,0,519,0
8,1,1,0,0,518,0
9,1,1,0,0,518,0
10,1,1,0,0,516,0
11,1,1,0,0,515,0
12,1,1,0,0,515,0
13,1,1,0,0,514,0
14,1,1,0,0,514,0
15,1,1,0,0,515,0
0,1,1,0,0,515,0
1,1,1,0,0,516,0
2,1,1,0,0,518,0
3,1,1,0,0,517,0
4,1,1,0,0,518,0
5,1,1,0,0,519,0
6,1,1,0,0,519,0
7,1,1,0,0,520,0
8,1,1,0,0,520,0
9,1,1,0,0,520,0
10,1,1,0,0,520,0
11,1,1,0,0,519,0
12,1,1,0,0,519,0
13,1,1,0,0,518,0
14,1,1,0,0,518,0
15,1,1,0,0,517,0
0,1,1,0,0,516,0
1,1,1,0,0,516,0
2,1,1,0,0,516,0
3,1,1,0,0,516,0
4,1,1,0,0,516,0
5,1,1,0,0,517,0
6,1,1,0,0,518,0
7,1,1,0,0,518,0
8,1,1,0,0,518,0
9,1,1,0,0,519,0
10,1,1,0,0,519,0
11,1,1,0,0,519,0
12,1,1,0,0,521,0
13,1,1,0,0,520,0
14,1,1,0,0,520,0
15,1,1,0,0,520,0
0,1,1,0,0,519,0
1,1,1,0,0,518,0
2,1,1,0,0,518,0
3,1,1,0,0,517,0
4,1,1,0,0,515,0
5,1,1,0,0,515,0
6,1,1,0,0,515,0
7,1,1,0,0,516,0
8,1,1,0,0,516,0
9,1,1,0,0,517,0
10,1,1,0,0,517,0
11,1,1,0,0,518,0
12,1,1,0,0,518,0
13,1,1,0,0,518,0
14,1,1,0,0,519,0
15,1,1,0,0,519,0
0,1,1,0,0,519,0
1,1,1,0,0,518,0
2,1,1,0,0,517,0
3,1,1,0,0,516,0
4,1,1,0,0,515,0
5,1,1,0,0,515,0
6,1,1,0,0,515,0
7,1,1,0,0,513,0
8,1,1,0,0,512,0
9,1,1,0,0,512,0
10,1,1,0,0,511,0
11,1,1,0,0,512,0
12,1,1,0,0,512,0
13,1,1,0,0,512,0
14,1,1,0,0,513,0
15,1,1,0,0,513,0
0,1,1,0,0,514,0
1,1,1,0,0,515,0
2,1,1,0,0,515,0
3,1,1,0,0,516,0
4,1,1,0,0,517,0
5,1,1,0,0,517,0
6,1,1,0,0,517,0
7,1,1,0,0,516,0
8,1,1,0,0,515,0
9,1,1,0,0,514,0
10,1,1,0,0,513,0
11,1,1,0,0,512,0
12,1,1,0,0,511,0
13,1,1,0,0,511,0
14,1,1,0,0,510,0
15,1,1,0,0,510,0
0,1,1,0,0,511,0
1,1,1,0,0,512,0
2,1,1,0,0,512,0
3,1,1,0,0,513,0
4,1,1,0,0,514,0
5,1,1,0,0,514,0
6,1,1,0,0,515,0
7,1,1,0,0,516,0
8,1,1,0,0,516,0
9,1,1,0,0,516,0
10,1,1,0,0,516,0
11,1,1,0,0,515,0
12,1,1,0,0,515,0
13,1,1,0,0,514,0
14,1,1,0,0,514,0
15,1,1,0,0,513,0
0,1,1,0,0,513,0
1,1,1,0,0,513,0
2,1,1,0,0,514,0
3,1,1,0,0,515,0
4,1,1,0,0,515,0
5,1,1,0,0,517,0
6,1,1,0,0,518,0
7,1,1,0,0,518,0
8,1,1,0,0,518,0
9,1,1,0,0,519,0
10,1,1,0,0,519,0
11,1,1,0,0,519,0
12,1,1,0,0,519,0
13,1,1,0,0,519,0
14,1,1,0,0,519,0
15,1,1,0,0,518,0
0,1,1,0,0,516,0
1,1,1,0,0,513,0
2,1,1,0,0,512,0
3,1,1,0,0,511,0
4,1,1,0,0,509,0
5,1,1,0,0,508,0
6,1,1,0,0,507,0
7,1,1,0,0,505,0
8,1,1,0,0,504,0
9,1,1,0,0,504,0
10,1,1,0,0,504,0
11,1,1,0,0,504,0
12,1,1,0,0,505,0
13,1,1,0,0,505,0
14,1,1,0,0,506,0
15,1,1,0,0,507,0
0,1,1,0,0,507,0
1,1,1,0,0,507,0
2,1,1,0,0,507,0
3,1,1,0,0,506,0
4,1,1,0,0,506,0
5,1,1,0,0,506,0
6,1,1,0,0,505,0
7,1,1,0,0,505,0
8,1,1,0,0,505,0
9,1,1,0,0,505,0
10,1,1,0,0,504,0
11,1,1,0,0,504,0
12,1,1,0,0,504,0
13,1,1,0,0,504,0
14,1,1,0,0,504,0
15,1,1,0,0,504,0
0,1,1,0,0,505,0
1,1,1,0,0,505,0
2,1,1,0,0,506,0
3,1,1,0,0,507,0
4,1,1,0,0,508,0
5,1,1,0,0,507,0
6,1,1,0,0,506,0
7,1,1,0,0,505,0
8,1,1,0,0,504,0
9,1,1,0,0,504,0
10,1,1,0,0,504,0
11,1,1,0,0,502,0
12,1,1,0,0,502,0
13,1,1,0,0,503,0
14,1,1,0,0,503,0
15,1,1,0,0,505,0
0,1,1,0,0,507,0
1,1,1,0,0,509,0
2,1,1,0,0,511,0
3,1,1,0,0,511,0
4,1,1,0,0,513,0
5,1,1,0,0,514,0
6,1,1,0,0,515,0
7,1,1,0,0,516,0
8,1,1,0,0,517,0
9,1,1,0,0,518,0
10,1,1,0,0,518,0
11,1,1,0,0,517,0
12,1,1,0,0,516,0
13,1,1,0,0,515,0
14,1,1,0,0,515,0
15,1,1,0,0,515,0
0,1,1,0,0,514,0
1,1,1,0,0,513,0
2,1,1,0,0,513,0
3,1,1,0,0,513,0
4,1,1,0,0,514,0
5,1,1,0,0,515,0
6,1,1,0,0,515,0
7,1,1,0,0,516,0
8,1,1,0,0,517,0
9,1,1,0,0,517,0
10,1,1,0,0,518,0
11,1,1,0,0,518,0
12,1,1,0,0,519,0
13,1,1,0,0,518,0
14,1,1,0,0,518,0
15,1,1,0,0,517,0
0,1,1,0,0,517,0
1,1,1,0,0,515,0
2,1,1,0,0,515,0
3,1,1,0,0,515,0
4,1,1,0,0,515,0
5,1,1,0,0,513,0
6,1,1,0,0,513,0
7,1,1,0,0,512,0
8,1,1,0,0,513,0
9,1,1,0,0,514,0
10,1,1,0,0,515,0
11,1,1,0,0,516,0
12,1,1,0,0,516,0
13,1,1,0,0,516,0
14,1,1,0,0,517,0
15,1,1,0,0,518,0
0,1,1,0,0,518,0
1,1,1,0,0,518,0
2,1,1,0,0,517,0
3,1,1,0,0,517,0
4,1,1,0,0,516,0
5,1,1,0,0,515,0
6,1,1,0,0,515,0
7,1,1,0,0,514,0
8,1,1,0,0,513,0
9,1,1,0,0,513,0
10,1,1,0,0,513,0
11,1,1,0,0,512,0
12,1,1,0,0,513,0
13,1,1,0,0,513,0
14,1,1,0,0,514,0
15,1,1,0,0,514,0
0,1,1,0,0,514,0
1,1,1,0,0,513,0
2,1,1,0,0,515,0
3,1,1,0,0,516,0
4,1,1,0,0,516,0
5,1,1,0,0,516,0
6,1,1,0,0,515,0
7,1,1,0,0,514,0
8,1,1,0,0,513,0
9,1,1,0,0,512,0
10,1,1,0,0,513,0
11,1,1,0,0,513,0
12,1,1,0,0,512,0
13,1,1,0,0,512,0
14,1,1,0,0,511,0
15,1,1,0,0,511,0
0,1,1,0,0,511,0
1,1,1,0,0,510,0
2,1,1,0,0,509,0
3,1,1,0,0,507,0
4,1,1,0,0,504,0
5,1,1,0,0,499,0
6,1,1,0,0,494,0
7,1,1,0,0,487,0
8,1,1,0,0,479,0
9,1,1,0,0,471,0
10,1,1,0,0,464,0
11,1,1,0,0,455,0
12,1,1,0,0,449,0
13,1,1,0,0,442,0
14,1,1,0,0,437,0
15,1,1,0,0,435,0
0,1,1,0,0,433,0
1,1,1,0,0,433,0
2,1,1,0,0,431,0
3,1,1,0,0,429,0
4,1,1,0,0,428,0
5,1,1,0,0,427,0
6,1,1,0,0,427,0
