7,1,1,0,0,527,515
8,1,1,0,0,527,511
9,1,1,0,0,526,511
10,1,1,0,0,526,513
11,1,1,0,0,526,513
12,1,1,0,0,526,512
13,1,1,0,0,526,510
14,1,1,0,0,525,508
15,1,1,0,0,525,511
0,1,1,0,0,525,513
1,1,1,0,0,525,508
2,1,1,0,0,525,510
3,1,1,0,0,525,508
4,1,1,0,0,524,510
5,1,1,0,0,524,509
6,1,1,0,0,523,512
7,1,1,0,0,524,508
8,1,1,0,0,524,508
9,1,1,0,0,524,512
10,1,1,0,0,523,508
11,1,1,0,0,523,509
12,1,1,0,0,523,506
13,1,1,0,0,523,505
14,1,1,0,0,523,509
15,1,1,0,0,524,510
0,1,1,0,0,523,504
1,1,1,0,0,524,505
2,1,1,0,0,525,506
3,1,1,0,0,525,509
4,1,1,0,0,525,507
5,1,1,0,0,524,504
6,1,1,0,0,524,511
7,1,1,0,0,524,504
8,1,1,0,0,524,508
9,1,1,0,0,524,510
10,1,1,0,0,524,506
11,1,1,0,0,524,504
12,1,1,0,0,524,504
13,1,1,0,0,524,506
14,1,1,0,0,524,506
15,1,1,0,0,524,505
0,1,1,0,0,524,505
1,1,1,0,0,524,503
2,1,1,0,0,524,505
3,1,1,0,0,524,505
4,1,1,0,0,524,505
5,1,1,0,0,524,504
6,1,1,0,0,525,502
7,1,1,0,0,525,503
8,1,1,0,0,525,508
9,1,1,0,0,526,504
10,1,1,0,0,526,503
11,1,1,0,0,526,499
12,1,1,0,0,526,504
13,1,1,0,0,526,505
14,1,1,0,0,526,503
15,1,1,0,0,526,504
0,1,1,0,0,526,501
1,1,1,0,0,526,504
2,1,1,0,0,526,504
3,1,1,0,0,526,500
4,1,1,0,0,526,503
5,1,1,0,0,527,502
6,1,1,0,0,526,502
7,1,1,0,0,527,506
8,1,1,0,0,527,503
9,1,1,0,0,527,508
10,1,1,0,0,528,499
11,1,1,0,0,528,499
12,1,1,0,0,529,507
13,1,1,0,0,529,504
14,1,1,0,0,529,501
15,1,1,0,0,529,501
0,1,1,0,0,529,504
1,1,1,0,0,529,505
2,1,1,0,0,530,501
3,1,1,0,0,532,502
4,1,1,0,0,532,501
5,1,1,0,0,532,504
6,1,1,0,0,531,504
7,1,1,0,0,531,501
8,1,1,0,0,531,502
9,1,1,0,0,531,503
10,1,1,0,0,531,507
11,1,1,0,0,531,503
12,1,1,0,0,531,507
13,1,1,0,0,531,503
14,1,1,0,0,530,502
15,1,1,0,0,529,505
0,1,1,0,0,529,505
1,1,1,0,0,527,502
2,1,1,0,0,527,504
3,1,1,0,0,526,504
4,1,1,0,0,524,507
5,1,1,0,0,523,505
6,1,1,0,0,522,508
7,1,1,0,0,520,504
8,1,1,0,0,519,504
