10,1,1,0,0,494,498
11,1,1,0,0,494,497
12,1,1,0,0,494,497
13,1,1,0,0,493,499
14,1,1,0,0,492,499
15,1,1,0,0,492,499
0,1,1,0,0,491,498
1,1,1,0,0,492,499
2,1,1,0,0,492,499
3,1,1,0,0,491,499
4,1,1,0,0,491,500
5,1,1,0,0,491,499
6,1,1,0,0,491,499
7,1,1,0,0,491,502
8,1,1,0,0,491,498
9,1,1,0,0,491,502
10,1,1,0,0,491,498
11,1,1,0,0,491,499
12,1,1,0,0,491,500
13,1,1,0,0,491,501
14,1,1,0,0,492,500
15,1,1,0,0,491,500
0,1,1,0,0,492,501
1,1,1,0,0,492,501
2,1,1,0,0,492,500
3,1,1,0,0,492,504
4,1,1,0,0,492,503
5,1,1,0,0,492,503
6,1,1,0,0,492,504
7,1,1,0,0,492,503
8,1,1,0,0,493,499
9,1,1,0,0,493,503
10,1,1,0,0,493,500
11,1,1,0,0,493,501
12,1,1,0,0,493,503
13,1,1,0,0,493,501
14,1,1,0,0,493,503
15,1,1,0,0,494,503
0,1,1,0,0,494,503
1,1,1,0,0,495,504
2,1,1,0,0,496,502
3,1,1,0,0,496,505
4,1,1,0,0,496,504
5,1,1,0,0,495,504
6,1,1,0,0,495,505
7,1,1,0,0,495,505
8,1,1,0,0,495,505
9,1,1,0,0,496,508
10,1,1,0,0,496,508
11,1,1,0,0,497,506
12,1,1,0,0,497,506
13,1,1,0,0,497,505
14,1,1,0,0,498,506
15,1,1,0,0,498,507
0,1,1,0,0,498,507
1,1,1,0,0,499,508
2,1,1,0,0,499,507
3,1,1,0,0,499,507
4,1,1,0,0,499,509
5,1,1,0,0,500,509
6,1,1,0,0,500,507
7,1,1,0,0,500,511
8,1,1,0,0,501,508
9,1,1,0,0,502,509
10,1,1,0,0,501,511
11,1,1,0,0,502,508
12,1,1,0,0,502,509
13,1,1,0,0,502,509
14,1,1,0,0,501,510
15,1,1,0,0,502,511
0,1,1,0,0,503,510
1,1,1,0,0,503,511
2,1,1,0,0,503,512
3,1,1,0,0,504,511
4,1,1,0,0,504,512
5,1,1,0,0,504,510
6,1,1,0,0,504,513
7,1,1,0,0,504,510
8,1,1,0,0,505,511
9,1,1,0,0,506,515
10,1,1,0,0,506,514
11,1,1,0,0,506,512
12,1,1,0,0,506,512
13,1,1,0,0,507,512
14,1,1,0,0,507,513
15,1,1,0,0,508,513
0,1,1,0,0,508,514
1,1,1,0,0,508,512
2,1,1,0,0,509,512
3,1,1,0,0,510,515
4,1,1,0,0,510,516
5,1,1,0,0,510,515
6,1,1,0,0,510,516
7,1,1,0,0,511,515
8,1,1,0,0,511,515
9,1,1,0,0,511,515
10,1,1,0,0,511,514
11,1,1,0,0,512,514
12,1,1,0,0,512,515
13,1,1,0,0,512,515
14,1,1,0,0,513,515
15,1,1,0,0,513,515
0,1,1,0,0,513,516
1,1,1,0,0,513,515
2,1,1,0,0,513,515
3,1,1,0,0,513,515
4,1,1,0,0,513,516
5,1,1,0,0,513,517
6,1,1,0,0,513,517
7,1,1,0,0,512,517
8,1,1,0,0,512,515
9,1,1,0,0,513,515
10,1,1,0,0,513,514
11,1,1,0,0,513,516
12,1,1,0,0,514,514
13,1,1,0,0,514,515
14,1,1,0,0,514,515
15,1,1,0,0,514,515
0,1,1,0,0,515,514
1,1,1,0,0,515,515
2,1,1,0,0,515,516
3,1,1,0,0,515,515
4,1,1,0,0,515,516
5,1,1,0,0,514,515
6,1,1,0,0,515,514
7,1,1,0,0,514,518
8,1,1,0,0,515,515
9,1,1,0,0,514,518
10,1,1,0,0,514,517
11,1,1,0,0,514,517
12,1,1,0,0,514,516
13,1,1,0,0,514,515
14,1,1,0,0,514,515
15,1,1,0,0,514,516
0,1,1,0,0,514,513
1,1,1,0,0,514,516
2,1,1,0,0,514,516
3,1,1,0,0,514,515
4,1,1,0,0,514,516
5,1,1,0,0,514,517
6,1,1,0,0,514,517
7,1,1,0,0,513,517
8,1,1,0,0,513,517
9,1,1,0,0,513,517
10,1,1,0,0,514,517
11,1,1,0,0,513,515
12,1,1,0,0,513,515
13,1,1,0,0,513,516
14,1,1,0,0,513,515
15,1,1,0,0,514,516
0,1,1,0,0,514,516
1,1,1,0,0,514,516
2,1,1,0,0,513,516
3,1,1,0,0,513,515
4,1,1,0,0,513,516
5,1,1,0,0,513,516
6,1,1,0,0,513,515
7,1,1,0,0,513,514
8,1,1,0,0,514,516
9,1,1,0,0,515,514
10,1,1,0,0,515,513
11,1,1,0,0,515,511
12,1,1,0,0,515,514
13,1,1,0,0,515,513
14,1,1,0,0,516,513
15,1,1,0,0,516,513
0,1,1,0,0,516,513
1,1,1,0,0,516,513
2,1,1,0,0,516,513
3,1,1,0,0,515,513
4,1,1,0,0,515,513
5,1,1,0,0,515,513
6,1,1,0,0,515,513
7,1,1,0,0,515,515
8,1,1,0,0,515,513
9,1,1,0,0,515,512
10,1,1,0,0,515,511
11,1,1,0,0,515,511
12,1,1,0,0,514,510
13,1,1,0,0,515,511
14,1,1,0,0,515,511
15,1,1,0,0,514,511
0,1,1,0,0,514,510
1,1,1,0,0,513,510
2,1,1,0,0,512,511
3,1,1,0,0,512,511
4,1,1,0,0,512,510
5,1,1,0,0,512,510
6,1,1,0,0,510,512
7,1,1,0,0,509,511
8,1,1,0,0,508,510
9,1,1,0,0,508,509
10,1,1,0,0,508,508
11,1,1,0,0,507,510
12,1,1,0,0,507,508
13,1,1,0,0,506,508
14,1,1,0,0,505,509
15,1,1,0,0,505,508
0,1,1,0,0,505,508
1,1,1,0,0,505,508
2,1,1,0,0,506,509
3,1,1,0,0,507,509
4,1,1,0,0,508,509
5,1,1,0,0,508,508
6,1,1,0,0,508,511
7,1,1,0,0,508,508
8,1,1,0,0,508,508
9,1,1,0,0,509,507
10,1,1,0,0,509,509
11,1,1,0,0,508,507
12,1,1,0,0,507,506
13,1,1,0,0,506,505
14,1,1,0,0,506,505
15,1,1,0,0,505,507
0,1,1,0,0,504,504
1,1,1,0,0,504,507
2,1,1,0,0,503,507
3,1,1,0,0,502,507
4,1,1,0,0,502,507
5,1,1,0,0,502,507
6,1,1,0,0,502,507
7,1,1,0,0,501,507
8,1,1,0,0,501,506
9,1,1,0,0,500,508
10,1,1,0,0,500,507
11,1,1,0,0,500,506
12,1,1,0,0,499,505
13,1,1,0,0,499,506
14,1,1,0,0,499,505
15,1,1,0,0,498,506
